Thursday, January 21, 2016  8:13:09 AM EST
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 s3   in   sy1   cs us sy id
 17 0 0 63952016 56486144 3159 6105 2966 33 32 0 0 0 -0 5 5 34172 88001 42774 14 10 76
 15 0 0 51093848 40483808 3413 12894 64 138 138 0 0 0 0 0 0 35477 106036 46055 14 12 74
 11 0 0 51107584 40493904 2074 3068 2 5 5 0 0 0 0 1  1 33489 93523 42462 9 9 82
 8 0 0 51112016 40498560 2235 2762 28 3 3 0 0 0 0 15 14 31486 65706 38399 9 9 83
 21 0 0 51115568 40498928 2236 3164 69 3 3 0 0 0 0 3 3 34286 75813 40873 12 11 78
 17 0 0 51112432 40513416 2286 3047 36 224 224 0 0 0 0 0 0 36792 96480 47621 8 10 82
 10 0 0 51110936 40573480 2206 2867 3 3 3 0 0 0 0 1  1 27424 42247 31157 6 8 86
 14 0 0 51099336 40566744 2313 3214 3 0 0 0 0 0 0 0  0 35446 99214 46203 7 9 84
 13 0 0 51100152 40566368 2178 2969 5 3 3 0 0 0 0 1  1 30883 49292 36063 8 9 83
 10 0 0 51092000 40545320 2264 4674 2 24 24 0 0 0 0 17 17 35511 52815 44418 9 9 82
 11 0 0 51076552 40512560 2379 4123 24 35 35 0 0 0 0 1 1 36532 104121 48059 9 10 81
 10 0 0 51079056 40515208 2260 2986 14 3 3 0 0 0 0 0 0 30005 49800 34849 8 9 83
 16 0 0 51082224 40514752 2348 3656 0 3 3 0 0 0 0 0  0 31630 55272 37383 8 10 82
 14 0 0 50979640 40510288 2252 2946 147 0 0 0 0 0 0 19 17 33019 66977 40436 7 11 82
 14 0 0 51080704 40511272 2233 2768 32 2 2 0 0 0 0 0 0 27791 40871 31146 7 8 85
 9 0 0 51087872 40517184 2308 3196 99 2 2 0 0 0 0 7  7 36486 106263 48186 8 9 83
 10 0 0 51087752 40516480 2217 2898 2 2 2 0 0 0 0 0  0 39877 125684 53425 8 10 82
 11 0 0 51096248 40528264 2171 2574 141 0 0 0 0 0 0 3 3 35174 94419 44408 8 9 83
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 s3   in   sy1   cs us sy id
 10 0 0 51093568 40531176 2261 3101 0 3 3 0 0 0 0 0  0 32694 83966 41274 6 8 85
 17 0 0 49554128 40526472 2419 3648 19 0 0 0 0 0 0 2 2 31820 52425 36782 8 14 78
 14 0 0 51103512 40533952 1836 3017 132 6 6 0 0 0 0 0 0 36376 95100 46079 8 10 82
 21 0 0 49815520 40513320 3292 9259 2 2 2 0 0 0 0 9  9 30939 68479 34840 15 18 67
 13 0 0 51096792 40500000 2602 14796 278 60 60 0 0 0 0 0 0 31357 59263 35105 13 13 75
 20 0 0 50834064 40480648 3000 4038 9 3 3 0 0 0 0 2  2 30281 59214 33168 11 11 78
 29 0 0 49723976 40436792 1632 3936 1972 14 13 0 0 0 0 0 0 32863 43799 37276 12 16 72
 11 0 0 49987896 40416968 3213 4235 0 2 2 0 0 0 0 1  1 35973 94280 44651 11 10 79
 11 0 0 48474432 40410392 1612 3670 110 2 2 0 0 0 0 0 0 36133 91721 44324 16 15 70
 24 0 0 49595488 40417208 3279 5101 49 3 3 0 0 0 0 10 10 38957 100516 48802 12 16 72
 25 0 0 49495864 40427344 1446 2930 79 16 16 0 0 0 0 0 0 33889 57167 39312 9 15 76
 14 0 0 48766480 40402352 3243 5290 0 2 2 0 0 0 0 1  1 34975 88859 42389 10 18 72
 14 0 0 51018760 40394192 1646 2667 79 5 5 0 0 0 0 0 0 30580 65863 35049 8 9 83
 27 0 0 49699904 40342392 3915 10063 6 0 0 0 0 0 0 1 1 38712 117379 48103 14 22 64
 16 0 0 51011512 40372032 2321 11853 93 2 2 0 0 0 0 0 0 32941 83803 36331 14 15 72
 15 0 0 51019904 40362864 3464 6121 77 9 9 0 0 0 0 11 11 31528 62367 36093 11 10 79
 17 0 0 51027264 40352160 1551 2825 13 5 5 0 0 0 0 2 2 37251 103222 47492 10 10 80
 15 0 0 51028232 40346040 3286 4496 88 13 13 0 0 0 0 0 0 33345 82400 37818 10 11 79
 12 0 0 51034264 40341728 1429 2235 77 3 3 0 0 0 0 1 1 33802 68058 40667 10 9 80
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 s3   in   sy1   cs us sy id
 17 0 0 50629960 40334736 3309 4589 43 0 0 0 0 0 0 0 0 30367 50342 34017 10 11 79
 8 0 0 51041488 40321496 1435 2579 76 2 2 0 0 0 0 1  1 35236 81891 43669 10 10 81
 17 0 0 51034112 40304608 3433 4435 16 3 3 0 0 0 0 18 19 41362 128640 54877 10 10 80
 13 0 0 51050800 40302264 827 1504 85 87 87 0 0 0 0 2 2 33044 71936 39655 9 9 81
 15 0 0 51050512 40286232 3778 5255 13 5 5 0 0 0 0 0 0 36908 104498 47301 11 10 79
 12 0 0 51055112 40275616 1084 2008 444 0 0 0 0 0 0 1 1 39308 100408 50109 10 10 80
 18 0 0 50284576 40256440 3241 5633 9 5 5 0 0 0 0 0  0 35832 95240 43619 10 15 75
 15 0 0 51052672 40246376 1775 3051 285 0 0 0 0 0 0 1 1 32117 65360 37245 11 9 80
 25 0 0 51050720 40233088 3603 20583 0 2 2 0 0 0 0 30 30 32986 71542 36438 15 14 71
 15 0 0 51046640 40216568 2623 3860 13 3 3 0 0 0 0 1 1 32949 56807 36400 14 10 76
